id,title,date,time,startsAt,price,isFree,location,neighborhood,city,state,sourceUrl
"lacumbuca-bloco-zona-mental-2026-05-28-09-30-lona-hermeto-pascoal-praca-primeiro-de-maio-s","Bloco Zona Mental","2026-05-28","09:30","2026-05-28T09:30:00-03:00","grátis","true","Lona Hermeto Pascoal - Praça Primeiro de Maio, s/n - Bangu","Bangu","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-maira-freitas-julia-vargas-mc-marechal-dudu-nobre-awure-nissin-sinfonica-ambulan","Maíra Freitas / Júlia Vargas / MC Marechal / Dudu Nobre / Awurê / Nissin / Sinfônica Ambulante / Multibloco","2026-05-28","16:00","2026-05-28T16:00:00-03:00","grátis","true","Circo Voador - Lapa","Lapa","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-cabra-town-jazz-2026-05-28-18-00-al-farabi-rua-do-mercado-34-boulevard-olimpico-","Cabra Town Jazz","2026-05-28","18:00","2026-05-28T18:00:00-03:00","grátis","true","Al Farabi - Rua do Mercado, 34 - Boulevard Olímpico - Praça XV","Praça XV","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-claudio-infante-jazz-na-laje-2026-05-28-18-00-centro-cultural-paschoal-carlos-ma","Cláudio Infante (Jazz na Laje)","2026-05-28","18:00","2026-05-28T18:00:00-03:00","grátis","true","Centro Cultural Paschoal Carlos Magno - Rua Lopes Trovão, s/n - Campo de São Bento – Icaraí - Niterói","Niterói","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-ebony-larinhx-esquenta-wow-mare-2026-05-28-18-10-centro-de-artes-rua-bitencourt-","Ebony & Larinhx (Esquenta WOW Maré)","2026-05-28","18:10","2026-05-28T18:10:00-03:00","grátis","true","Centro de Artes - Rua Bitencourt Sampaio, 181 - Maré","Maré","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-tati-maia-lele-azevedo-2026-05-28-19-00-audio-rebel-rua-visconde-silva-55-botafo","Tati Maia / Lelê Azevedo","2026-05-28","19:00","2026-05-28T19:00:00-03:00","35 antecipado, 45 na hora","false","Audio Rebel - Rua Visconde Silva, 55 - Botafogo","Botafogo","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-matu-miranda-participacao-sergio-groove-2026-05-28-19-00-dolores-club-rua-do-lav","Matu Miranda - Participação: Sérgio Groove","2026-05-28","19:00","2026-05-28T19:00:00-03:00","30 meia antecipado, 40 meia na hora","false","Dolores Club - Rua do Lavradio, 10 - Centro","Centro","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-luis-carlinhos-2026-05-28-19-00-sesc-ramos-rua-teixeira-franco-38-ramos","Luis Carlinhos","2026-05-28","19:00","2026-05-28T19:00:00-03:00","7,50 meia","false","SESC Ramos - Rua Teixeira Franco, 38 - Ramos","Ramos","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-kim-pereira-nicole-cyrne-2026-05-28-19-00-eleninha-rua-pacheco-leao-780-horto","Kim Pereira & Nicole Cyrne","2026-05-28","19:00","2026-05-28T19:00:00-03:00","","false","Eleninha - Rua Pacheco Leão, 780 - Horto","Horto","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-casual-art-ensemble-2026-05-28-19-00-escritorio-rua-da-constituicao-64-centro","Casual Art Ensemble","2026-05-28","19:00","2026-05-28T19:00:00-03:00","20","false","Escritório - Rua da Constituição, 64 - Centro","Centro","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-elena-ciavaglia-2026-05-28-19-00-indecente-cafe-rua-felicio-dos-santos-3-santa-t","Elena Ciavaglia","2026-05-28","19:00","2026-05-28T19:00:00-03:00","contribuição voluntária","false","Indecente Café - Rua Felício dos Santos, 3 - Santa Teresa","Santa Teresa","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-joanna-2026-05-28-19-00-casa-de-cultura-laura-alvim-avenida-vieira-souto-176-ipa","Joanna","2026-05-28","19:00","2026-05-28T19:00:00-03:00","2,50 meia","false","Casa de Cultura Laura Alvim - Avenida Vieira Souto, 176 - Ipanema","Ipanema","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-samba-do-orelhao-2026-05-28-19-00-alalao-kiosk-av-vieira-souto-00-ipanema","Samba do Orelhão","2026-05-28","19:00","2026-05-28T19:00:00-03:00","grátis","true","Alalaô Kiosk - Av. Vieira Souto, 00 - Ipanema","Ipanema","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-gilson-peranzzetta-participacao-jane-duboc-marcel-powell-mauro-senise-2026-05-28","Gilson Peranzzetta - Participação: Jane Duboc & Marcel Powell & Mauro Senise","2026-05-28","19:30","2026-05-28T19:30:00-03:00","a partir de 50 meia","false","Teatro Rival - Rua Álvaro Alvim, 33 - Cinelândia","Cinelândia","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-fernando-moura-2026-05-28-20-00-teatro-ipanema-rua-prudente-de-morais-824-ipanem","Fernando Moura","2026-05-28","20:00","2026-05-28T20:00:00-03:00","60 meia","false","Teatro Ipanema - Rua Prudente de Morais, 824 - Ipanema","Ipanema","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-joao-rabello-2026-05-28-20-00-blue-note-rio-avenida-atlantica-1910-copacabana","João Rabello","2026-05-28","20:00","2026-05-28T20:00:00-03:00","a partir de 60 meia","false","Blue Note Rio - Avenida Atlântica, 1910 - Copacabana","Copacabana","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-emanazul-jesus-hidalgo-2026-05-28-20-00-manouche-jockey-club-rua-jardim-botanico","Emanazul / Jesús Hidalgo","2026-05-28","20:00","2026-05-28T20:00:00-03:00","120","false","Manouche - Jockey Club - Rua Jardim Botânico, 983 - Jardim Botânico","Jardim Botânico","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-arimalance-2026-05-28-20-00-vizinha-123-rua-henrique-de-novaes-123-botafogo","Arimalance","2026-05-28","20:00","2026-05-28T20:00:00-03:00","contribuição voluntária sugerida entre 30 e 80","false","Vizinha 123 - Rua Henrique de Novaes, 123 - Botafogo","Botafogo","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-savio-participacao-mariana-volker-lua-yvys-2026-05-28-20-00-casa-julieta-de-serp","Sávio - Participação: Mariana Volker & Luã Yvys","2026-05-28","20:00","2026-05-28T20:00:00-03:00","60 meia","false","Casa Julieta de Serpa - JClub - Praia do Flamengo, 340 - Flamengo","Flamengo","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-lis-mc-daflor-made-in-lisa-festa-soul-pixta-insuldesfile-2026-05-28-20-00-pista-","Lis MC / Daflor / Made in Lisa / Festa Soul Pixta (InsulDesfile)","2026-05-28","20:00","2026-05-28T20:00:00-03:00","grátis","true","Pista de Skate - Cocotá - Ilha do Governador","Ilha do Governador","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-dj-negralha-antconstantino-festa-quintas-de-vinyl-2026-05-28-20-00-lado-b-rua-pr","DJ Negralha / Antconstantino (Festa Quintas de Vinyl)","2026-05-28","20:00","2026-05-28T20:00:00-03:00","grátis antecipado, 10 normal, 30 na hora","true","Lado B - Rua Primeiro de Março, 14 - Travessa do Comércio - Centro","Centro","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-nath-audizio-2026-05-28-21-00-elena-horto-rua-pacheco-leao-758-jardim-botanico","Nath Audízio","2026-05-28","21:00","2026-05-28T21:00:00-03:00","","false","Elena Horto - Rua Pacheco Leão, 758 - Jardim Botânico","Jardim Botânico","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-negro-leo-lcuas-2026-05-28-22-00-trauma-rua-do-carmo-58-centro","Negro Leo & Lcuas","2026-05-28","22:00","2026-05-28T22:00:00-03:00","","false","Trauma - Rua do Carmo, 58 - Centro","Centro","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-cidade-dormitorio-2026-05-28-22-00-audio-rebel-rua-visconde-silva-55-botafogo","Cidade Dormitório","2026-05-28","22:00","2026-05-28T22:00:00-03:00","35 antecipado","false","Audio Rebel - Rua Visconde Silva, 55 - Botafogo","Botafogo","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-avua-bruna-black-jota-pe-festival-masculinidades-2026-05-29-18-00-museu-de-arte-","ÀVUÀ (Bruna Black & Jota.pê) (Festival Masculinidades)","2026-05-29","18:00","2026-05-29T18:00:00-03:00","grátis","true","Museu de Arte do Rio - Praça Mauá, 5 - Centro","Centro","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-flavio-venturini-mpbjazz-orquestra-2026-05-29-19-00-theatro-municipal-cinelandia","Flávio Venturini & MPBJazz Orquestra","2026-05-29","19:00","2026-05-29T19:00:00-03:00","a partir de 80 meia","false","Theatro Municipal - Cinelândia - Centro","Centro","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-duo-rafael-beck-felipe-montanaro-2026-05-29-19-00-bndes-av-republica-do-chile-10","Duo Rafael Beck & Felipe Montanaro","2026-05-29","19:00","2026-05-29T19:00:00-03:00","grátis","true","BNDES - Av. República do Chile, 100 - Centro","Centro","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-abacaxepa-2026-05-29-19-00-dolores-club-rua-do-lavradio-10-centro","Abacaxepa","2026-05-29","19:00","2026-05-29T19:00:00-03:00","25 meia antecipado, 30 meia na hora","false","Dolores Club - Rua do Lavradio, 10 - Centro","Centro","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-anna-paes-carlos-chaves-2026-05-29-19-00-centro-cultural-da-justica-federal-av-r","Anna Paes & Carlos Chaves","2026-05-29","19:00","2026-05-29T19:00:00-03:00","25 meia","false","Centro Cultural da Justiça Federal - Av. Rio Branco, 241 - Cinelândia","Cinelândia","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-banda-bicho-manco-capac-2026-05-29-19-00-audio-rebel-rua-visconde-silva-55-botaf","Banda Bicho / Manco Capac","2026-05-29","19:00","2026-05-29T19:00:00-03:00","25 antecipado, 35 na hora","false","Audio Rebel - Rua Visconde Silva, 55 - Botafogo","Botafogo","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-duo-riso-participacao-jessica-nepomuceno-2026-05-29-19-00-teatro-ruth-de-souza-p","Duo Riso - Participação: Jéssica Nepomuceno","2026-05-29","19:00","2026-05-29T19:00:00-03:00","20 meia","false","Teatro Ruth de Souza - Parque das Ruínas - Rua Murtinho Nobre, 169 - Santa Teresa","Santa Teresa","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-jenni-rocha-2026-05-29-19-00-beise-arte-bar-praia-de-botafogo-454-botafogo","Jenni Rocha","2026-05-29","19:00","2026-05-29T19:00:00-03:00","30 antecipado","false","Beise Arte Bar - Praia de Botafogo, 454 - Botafogo","Botafogo","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-micanga-afrikano-rataria-nuclear-seasac-mfkim-conexao-z-o-2026-05-29-19-00-lona-","Miçanga / Afrikano / Rataria Nuclear / Seasac & MFKim (Conexão Z.O.)","2026-05-29","19:00","2026-05-29T19:00:00-03:00","grátis","true","Lona Hermeto Pascoal - Praça Primeiro de Maio, s/n - Bangu","Bangu","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-coletivo-jahzz-2026-05-29-19-00-indecente-cafe-rua-felicio-dos-santos-3-santa-te","Coletivo Jahzz","2026-05-29","19:00","2026-05-29T19:00:00-03:00","contribuição voluntária","false","Indecente Café - Rua Felício dos Santos, 3 - Santa Teresa","Santa Teresa","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-boogarins-2026-05-29-20-00-sesi-jacarepagua-avenida-geremario-dantas-940-fregues","Boogarins","2026-05-29","20:00","2026-05-29T20:00:00-03:00","20 meia","false","SESI Jacarepaguá - Avenida Geremário Dantas, 940 - Freguesia - Jacarepaguá","Jacarepaguá","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-ed-motta-manual-pratico-30-anos-amigos-da-cacilda-2026-05-29-20-00-circo-voador-","Ed Motta: ""Manual Prático - 30 Anos"" / Amigos da Cacilda","2026-05-29","20:00","2026-05-29T20:00:00-03:00","90 meia 1º lote","false","Circo Voador - Lapa","Lapa","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-mc-nego-bam-djs-2026-05-29-20-00-rock-n-beer-pub-rua-francisco-portela-2438-para","MC Nego Bam / DJs","2026-05-29","20:00","2026-05-29T20:00:00-03:00","20 1º lote","false","Rock´N Beer Pub - Rua Francisco Portela, 2438 - Parada 40 - São Gonçalo","São Gonçalo","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-sofia-malta-participacao-natascha-falcao-2026-05-29-20-00-teatro-ipanema-rua-pru","Sofia Malta - Participação: Natascha Falcão","2026-05-29","20:00","2026-05-29T20:00:00-03:00","35 meia","false","Teatro Ipanema - Rua Prudente de Morais, 824 - Ipanema","Ipanema","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-catzin-theka-minttt-sexcorp-bruxaria-2026-05-29-20-00-neu-rua-carlos-halfeld-230","Catzin / Theka / MINTTT / SexCorp Bruxaria","2026-05-29","20:00","2026-05-29T20:00:00-03:00","contribuição voluntária","false","Neu - Rua Carlos Halfeld, 230 - Icaraí - Niterói","Niterói","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-sergio-krakowski-bernardo-ramos-participacao-erika-ribeiro-2026-05-29-20-00-reci","Sergio Krakowski & Bernardo Ramos - Participação: Erika Ribeiro","2026-05-29","20:00","2026-05-29T20:00:00-03:00","35","false","Recipiente Porongo - Rua Pinheiro Guimarães, 34 - Botafogo","Botafogo","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-hora-feliz-2026-05-29-20-00-escritorio-rua-da-constituicao-64-centro","Hora Feliz","2026-05-29","20:00","2026-05-29T20:00:00-03:00","grátis","true","Escritório - Rua da Constituição, 64 - Centro","Centro","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-fernando-clark-nico-rezende-2026-05-29-20-30-manouche-jockey-club-rua-jardim-bot","Fernando Clark & Nico Rezende","2026-05-29","20:30","2026-05-29T20:30:00-03:00","80 meia","false","Manouche - Jockey Club - Rua Jardim Botânico, 983 - Jardim Botânico","Jardim Botânico","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-matue-brandao-2026-05-29-21-00-fundicao-progresso-lapa","Matuê / Brandão","2026-05-29","21:00","2026-05-29T21:00:00-03:00","180 meia vip 2º lote, 170 meia simples 2º lote","false","Fundição Progresso - Lapa","Lapa","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-geraldo-azevedo-2026-05-29-21-00-vivo-rio-av-infante-dom-henrique-85-parque-do-f","Geraldo Azevedo","2026-05-29","21:00","2026-05-29T21:00:00-03:00","a partir de 60 meia","false","Vivo Rio - Av. Infante Dom Henrique, 85 - Parque do Flamengo","Parque do Flamengo","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-joazz-djs-festa-fechamento-2026-05-29-21-00-v1d4dur4-beco-de-braganca-26-centro","Joazz / DJs (Festa Fechamento)","2026-05-29","21:00","2026-05-29T21:00:00-03:00","20 antecipado","false","v1d4dur4 - Beco de Bragança, 26 - Centro","Centro","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-romeros-2026-05-29-21-00-emporio-encantado-praca-sargento-eudoxio-passos-30-enca","Romeros","2026-05-29","21:00","2026-05-29T21:00:00-03:00","grátis","true","Empório Encantado - Praça Sargento Eudóxio Passos, 30 - Encantado","Encantado","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-jamaica-express-adnon-roxedo-2026-05-29-22-00-motocerva-rua-do-rezende-16-lapa","Jamaica Express: Adnon / Roxedo","2026-05-29","22:00","2026-05-29T22:00:00-03:00","15 antecipado, 20 na hora","false","MotoCerva - Rua do Rezende, 16 - Lapa","Lapa","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-camerata-uere-festival-imagina-2026-05-30-11-00-parque-de-madureira-rua-soares-c","Camerata Uerê (Festival Imagina!)","2026-05-30","11:00","2026-05-30T11:00:00-03:00","grátis","true","Parque de Madureira - Rua Soares Caldeira, 115 - Madureira","Madureira","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-cortejo-do-cordao-do-prata-preta-cortejo-em-frente-ao-armazem-1-feira-preta-fest","Cortejo do Cordão do Prata Preta (cortejo em frente ao Armazém 1) (Feira Preta Festival)","2026-05-30","12:00","2026-05-30T12:00:00-03:00","grátis","true","Palco Zungu - Armazém 1 - Pier Mauá","Pier Mauá","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-mauk-garcia-peyote-dj-pedro-serra-2026-05-30-13-00-patas-cafe-rua-almirante-coch","Mauk Garcia / Peyote / DJ Pedro Serra","2026-05-30","13:00","2026-05-30T13:00:00-03:00","grátis","true","Patas Café - Rua Almirante Cochrane, 39 - Tijuca","Tijuca","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-the-neon-desert-lotus-negra-zoeste-tribe-2026-05-30-14-00-motoclube-correntes-de","The Neon Desert / Lótus Negra / ZOeste / Tribe","2026-05-30","14:00","2026-05-30T14:00:00-03:00","","false","Motoclube Correntes de Sangue - Avenida Santa Cruz, 2795 - Padre Miguel","Padre Miguel","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-terreiro-de-crioulo-2026-05-30-14-00-al-farabi-rua-do-mercado-34-boulevard-olimp","Terreiro de Crioulo","2026-05-30","14:00","2026-05-30T14:00:00-03:00","grátis","true","Al Farabi - Rua do Mercado, 34 - Boulevard Olímpico - Praça XV","Praça XV","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-baile-black-bom-sandra-sa-dom-filo-feira-preta-festival-2026-05-30-14-00-palco-p","Baile Black Bom: Sandra Sá & Dom Filó (Feira Preta Festival)","2026-05-30","14:00","2026-05-30T14:00:00-03:00","grátis","true","Palco Pedra do Sal - Armazém Kobra - Pier Mauá","Pier Mauá","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-samba-de-ponta-caxambu-do-salgueiro-faz-na-praca-2026-05-30-14-00-praca-saenz-pe","Samba de Ponta / Caxambu do Salgueiro (Faz na Praça)","2026-05-30","14:00","2026-05-30T14:00:00-03:00","grátis","true","Praça Saenz Peña - Tijuca","Tijuca","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-conterraneos-2026-05-30-15-00-sesc-nova-iguacu-rua-dom-adriano-hipolito-10-moque","Conterrâneos","2026-05-30","15:00","2026-05-30T15:00:00-03:00","7,50 meia","false","SESC Nova Iguaçu - Rua Dom Adriano Hipólito, 10 - Moquetá - Nova Iguaçu","Nova Iguaçu","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-imundos-cara-de-porco-sangria-hellming-2026-05-30-15-00-santissimo-s-rock-beer-a","Imundos / Cara de Porco / Sangria / Hellming","2026-05-30","15:00","2026-05-30T15:00:00-03:00","grátis","true","Santíssimo's Rock & Beer - Avenida Cesário de Melo, 1069 - Campo Grande","Campo Grande","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-samba-canela-de-velho-feira-preta-festival-2026-05-30-15-00-palco-zungu-armazem-","Samba Canela de Velho (Feira Preta Festival)","2026-05-30","15:00","2026-05-30T15:00:00-03:00","grátis","true","Palco Zungu - Armazém 1 - Pier Mauá","Pier Mauá","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-lia-marcelo-mimoso-lucia-menezes-nosso-bloco-arraial-beneficente-2026-05-30-16-0","Lia / Marcelo Mimoso / Lúcia Menezes / Nosso Bloco (Arraial Beneficente)","2026-05-30","16:00","2026-05-30T16:00:00-03:00","35 meia 2º lote","false","Clube Monte Líbano - Avenida Borges de Medeiros, 701 - Lagoa","Lagoa","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-meu-funeral-melton-sello-swave-sudano-venuz-festival-pop-desastre-2026-05-30-16-","Meu Funeral / Melton Sello / Swave / Sudano / Venuz (Festival Pop Desastre)","2026-05-30","16:00","2026-05-30T16:00:00-03:00","40","false","Calabouço - Rua Felipe Camarão, 130 - Tijuca","Tijuca","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-apa7fac-jamall-dubeco-diou-vince-bxd-felix-mc-bellator-hellbxd-magrom-leia-fer-p","Apa7fac / Jamall Dubeco / Diou / Vince BXD / Félix / MC Bellator / HellBXD / Magrom / Leia Fer / Pampert (Sarau Marginal PROBXD)","2026-05-30","16:00","2026-05-30T16:00:00-03:00","grátis","true","Espaço BXD In Cena - Rua Prata, 35 - Coelho da Rocha - São João de Meriti","São João de Meriti","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-a-barca-do-sol-sessao-de-autografos-do-disco-as-gralhas-2026-05-30-16-00-tropica","A Barca do Sol: Sessão de Autógrafos do Disco ""As Gralhas""","2026-05-30","16:00","2026-05-30T16:00:00-03:00","grátis","true","Tropicália Discos - Rua Sorocaba, 122 - Botafogo","Botafogo","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-bia-ferreira-2026-05-30-17-00-casa-museu-eva-klabin-avenida-epitacio-pessoa-2480","Bia Ferreira","2026-05-30","17:00","2026-05-30T17:00:00-03:00","30 meia","false","Casa Museu Eva Klabin - Avenida Epitácio Pessoa, 2480 - Lagoa","Lagoa","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-leao-etiope-do-meier-estudeofunk-jefferson-placido-participacao-mv-bill-2026-05-","Leão Etíope do Méier: #EstudeOFunk / Jefferson Plácido - Participação: MV Bill","2026-05-30","17:00","2026-05-30T17:00:00-03:00","grátis","true","Praça Agripino Grieco - Méier","Méier","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-biab-2026-05-30-17-00-casa-museu-eva-klabin-avenida-epitacio-pessoa-2480-lagoa","Biab","2026-05-30","17:00","2026-05-30T17:00:00-03:00","40 meia","false","Casa Museu Eva Klabin - Avenida Epitácio Pessoa, 2480 - Lagoa","Lagoa","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-josiel-konrad-jazz-proibidiao-participacao-juliane-gamboa-banda-preta-ozcrias-dj","Josiel Konrad & Jazz Proibidião - Participação: Juliane Gamboa / Banda Preta / OZCRIAS / DJs (Feira Preta Festival)","2026-05-30","17:00","2026-05-30T17:00:00-03:00","grátis","true","Palco Zungu - Armazém 1 - Pier Mauá","Pier Mauá","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-yma-2026-05-30-18-00-galpao-ladeira-das-artes-rua-conselheiro-lampreia-225-cosme","YMA","2026-05-30","18:00","2026-05-30T18:00:00-03:00","30 meia 1º lote","false","Galpão Ladeira das Artes - Rua Conselheiro Lampreia 225 - Cosme Velho","Cosme Velho","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-ze-farias-participacao-tunico-luiz-magalhaes-miguel-herzog-2026-05-30-18-00-inde","Zé Farias - Participação: Tunico & Luiz Magalhães & Miguel Herzog","2026-05-30","18:00","2026-05-30T18:00:00-03:00","contribuição voluntária","false","Indecente Café - Rua Felício dos Santos, 3 - Santa Teresa","Santa Teresa","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-callegari-off-dead-obl1ve-santo-insano-black-out-diavolos-festival-coletivo-subs","Callegari / Off Dead / Obl1ve / Santo Insano / Black Out / Diavolos (Festival Coletivo Subsolo)","2026-05-30","18:00","2026-05-30T18:00:00-03:00","contribuição voluntária","false","Empório Encantado - Praça Sargento Eudóxio Passos, 30 - Encantado","Encantado","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-mano-teko-festival-imagina-2026-05-30-18-00-parque-de-madureira-rua-soares-calde","Mano Teko (Festival Imagina!)","2026-05-30","18:00","2026-05-30T18:00:00-03:00","grátis","true","Parque de Madureira - Rua Soares Caldeira, 115 - Madureira","Madureira","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-nanda-tsunami-barona-tati-quebra-barraco-titica-feira-preta-festival-2026-05-30-","Nanda Tsunami & Barona / Tati Quebra Barraco & Titica (Feira Preta Festival)","2026-05-30","18:30","2026-05-30T18:30:00-03:00","grátis","true","Palco Pedra do Sal - Armazém Kobra - Pier Mauá","Pier Mauá","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
"lacumbuca-anna-paes-carlos-chaves-2026-05-30-19-00-centro-cultural-da-justica-federal-av-r","Anna Paes & Carlos Chaves","2026-05-30","19:00","2026-05-30T19:00:00-03:00","25 meia","false","Centro Cultural da Justiça Federal - Av. Rio Branco, 241 - Cinelândia","Cinelândia","Rio de Janeiro","RJ","http://www.lacumbuca.com/"
